Customer,Arrival Time,Service Time,Inter-arrival,Clock Time,Num in System,Num in Queue,Wait in Queue,Wait in System,Idle Time Server
1,6,5,6,6,1,0,0,5,6
2,14,1,8,14,1,0,0,1,3
3,19,5,5,19,1,0,0,5,4
4,24,5,5,24,1,0,0,5,0
5,31,5,7,31,1,0,0,5,2
6,36,3,5,36,1,0,0,3,0
7,39,2,3,39,1,0,0,2,0
8,43,6,4,43,1,0,0,6,2
9,48,1,5,49,2,1,1,2,0
10,55,2,7,55,1,0,0,2,5
11,58,3,3,58,1,0,0,3,1
12,59,2,1,61,2,1,2,4,0
13,66,6,7,66,1,0,0,6,3
14,67,2,1,72,2,1,5,7,0
15,69,5,2,74,3,2,5,10,0
16,71,4,2,79,4,3,8,12,0
17,79,2,8,83,5,4,4,6,0
18,84,2,5,85,6,5,1,3,0
19,85,6,1,87,7,6,2,8,0
20,88,6,3,93,8,7,5,11,0
21,89,2,1,99,9,8,10,12,0
22,97,1,8,101,10,9,4,5,0
23,102,5,5,102,1,0,0,5,0
24,105,6,3,107,2,1,2,8,0
25,112,1,7,113,3,2,1,2,0
26,118,1,6,118,1,0,0,1,4
27,122,6,4,122,1,0,0,6,3
28,127,5,5,128,2,1,1,6,0
29,128,3,1,133,3,2,5,8,0
30,134,3,6,136,4,3,2,5,0
31,135,1,1,139,5,4,4,5,0
32,137,2,2,140,6,5,3,5,0
33,145,4,8,145,1,0,0,4,3
34,152,5,7,152,1,0,0,5,3
35,160,2,8,160,1,0,0,2,3
36,165,4,5,165,1,0,0,4,3
37,173,1,8,173,1,0,0,1,4
38,181,1,8,181,1,0,0,1,7
39,182,2,1,182,1,0,0,2,0
40,186,6,4,186,1,0,0,6,2
41,191,3,5,192,2,1,1,4,0
42,198,3,7,198,1,0,0,3,3
43,202,2,4,202,1,0,0,2,1
44,210,1,8,210,1,0,0,1,6
45,212,6,2,212,1,0,0,6,1
46,218,4,6,218,1,0,0,4,0
47,225,4,7,225,1,0,0,4,3
48,228,3,3,229,2,1,1,4,0
49,232,5,4,232,1,0,0,5,0
50,239,6,7,239,1,0,0,6,2
51,241,2,2,245,2,1,4,6,0
52,247,5,6,247,1,0,0,5,0
53,252,2,5,252,1,0,0,2,0
54,254,4,2,254,1,0,0,4,0
55,258,5,4,258,1,0,0,5,0
56,265,6,7,265,1,0,0,6,2
57,270,3,5,271,2,1,1,4,0
58,272,1,2,274,3,2,2,3,0
59,273,5,1,275,4,3,2,7,0
60,275,5,2,280,5,4,5,10,0
61,280,6,5,285,6,5,5,11,0
62,285,5,5,291,7,6,6,11,0
63,293,2,8,296,8,7,3,5,0
64,299,4,6,299,1,0,0,4,1
65,306,5,7,306,1,0,0,5,3
66,307,2,1,311,2,1,4,6,0
67,310,2,3,313,3,2,3,5,0
68,313,3,3,315,4,3,2,5,0
69,316,4,3,318,5,4,2,6,0
70,320,2,4,322,6,5,2,4,0
71,321,2,1,324,7,6,3,5,0
72,325,5,4,326,8,7,1,6,0
73,326,1,1,331,9,8,5,6,0
74,333,2,7,333,1,0,0,2,1
75,334,6,1,335,2,1,1,7,0
76,335,3,1,341,3,2,6,9,0
77,339,1,4,344,4,3,5,6,0
78,341,4,2,345,5,4,4,8,0
79,349,5,8,349,1,0,0,5,0
80,353,2,4,354,2,1,1,3,0
81,355,1,2,356,3,2,1,2,0
82,360,3,5,360,1,0,0,3,3
83,363,5,3,363,1,0,0,5,0
84,368,3,5,368,1,0,0,3,0
85,375,2,7,375,1,0,0,2,4
86,376,3,1,377,2,1,1,4,0
87,383,1,7,383,1,0,0,1,3
88,386,4,3,386,1,0,0,4,2
89,388,2,2,390,2,1,2,4,0
90,394,5,6,394,1,0,0,5,2
91,401,3,7,401,1,0,0,3,2
92,407,4,6,407,1,0,0,4,3
93,409,2,2,411,2,1,2,4,0
94,412,6,3,413,3,2,1,7,0
95,414,6,2,419,4,3,5,11,0
96,417,4,3,425,5,4,8,12,0
97,425,1,8,429,6,5,4,5,0
98,426,6,1,430,7,6,4,10,0
99,434,4,8,436,8,7,2,6,0
100,438,1,4,440,9,8,2,3,0
